,_id,country,city,confirmed,deaths,population,lat,long
216,61eab83a50fb09bc0bd8621d,France_Martinique,True,71193,813,0,14.6415,-61.0242
217,61eab83a50fb09bc0bd8621e,France_Mayotte,True,35189,186,0,-12.8275,45.166244
218,61eab83a50fb09bc0bd8621f,France_New Caledonia,True,14854,282,0,-20.904304999999997,165.618042
219,61eab83a50fb09bc0bd86220,France_Reunion,True,133617,462,0,-21.1151,55.5364
220,61eab83a50fb09bc0bd86221,France_Saint Barthelemy,True,3282,6,0,17.9,-62.8333
221,61eab83a50fb09bc0bd86222,France_Saint Pierre and Miquelon,True,598,0,0,46.8852,-56.3159
222,61eab83a50fb09bc0bd86223,France_St Martin,True,9143,60,0,18.0708,-63.0501
223,61eab83a50fb09bc0bd86224,France_Wallis and Futuna,True,454,7,0,-14.2938,-178.1165
224,61eab83a50fb09bc0bd86225,Gabon,False,45663,299,2025137,-0.8037,11.6094
225,61eab83a50fb09bc0bd86226,Gambia,False,11572,347,2100568,13.4432,-15.3101
226,61eab83a50fb09bc0bd86227,Georgia,False,1021943,14582,3912061,42.3154,43.3569
227,61eab83a50fb09bc0bd86228,Germany,False,8502132,116490,82114224,,
228,61eab83a50fb09bc0bd86229,Germany_Baden-Wurttemberg,True,1181019,13498,0,48.6616,9.3501
229,61eab83a50fb09bc0bd8622a,Germany_Bayern,True,1530077,20267,0,48.7904,11.4979
230,61eab83a50fb09bc0bd8622b,Germany_Berlin,True,437562,4077,0,52.52,13.405
231,61eab83a50fb09bc0bd8622c,Germany_Brandenburg,True,292191,4957,0,52.4125,12.5316
232,61eab83a50fb09bc0bd8622d,Germany_Bremen,True,72063,629,0,53.0793,8.8017
233,61eab83a50fb09bc0bd8622e,Germany_Hamburg,True,193423,2059,0,53.5511,9.9937
234,61eab83a50fb09bc0bd8622f,Germany_Hessen,True,588664,8716,0,50.6521,9.1624
235,61eab83a50fb09bc0bd86230,Germany_Mecklenburg-Vorpommern,True,124210,1603,0,53.6127,12.4296
236,61eab83a50fb09bc0bd86231,Germany_Niedersachsen,True,543564,7039,0,52.6367,9.8451
237,61eab83a50fb09bc0bd86232,Germany_Nordrhein-Westfalen,True,1655625,20866,0,51.4332,7.6616
238,61eab83a50fb09bc0bd86233,Germany_Rheinland-Pfalz,True,328841,4760,0,50.1183,7.309
239,61eab83a50fb09bc0bd86234,Germany_Saarland,True,88103,1313,0,49.3964,7.023
240,61eab83a50fb09bc0bd86235,Germany_Sachsen,True,690905,13912,0,51.1045,13.2017
241,61eab83a50fb09bc0bd86236,Germany_Sachsen-Anhalt,True,245363,4528,0,51.9503,11.6923
242,61eab83a50fb09bc0bd86237,Germany_Schleswig-Holstein,True,180934,1932,0,54.2194,9.6961
243,61eab83a50fb09bc0bd86238,Germany_Thuringen,True,308067,6334,0,51.011,10.8453
244,61eab83a50fb09bc0bd86239,Germany_Unknown,True,41521,0,0,,
245,61eab83a50fb09bc0bd8623a,Ghana,False,154891,1357,28833629,7.9465,-1.0232
246,61eab83a50fb09bc0bd8623b,Greece,False,1742363,22366,11159773,39.0742,21.8243
247,61eab83a50fb09bc0bd8623c,Grenada,False,10960,205,107825,12.1165,-61.678999999999995
248,61eab83a50fb09bc0bd8623d,Guatemala,False,662828,16223,16913503,15.7835,-90.2308
249,61eab83a50fb09bc0bd8623e,Guinea,False,35719,410,12717176,9.9456,-9.6966
250,61eab83a50fb09bc0bd8623f,Guinea-Bissau,False,7222,153,1861283,11.8037,-15.1804
251,61eab83a50fb09bc0bd86240,Guyana,False,54736,1111,777859,4.860416000000002,-58.93018000000001
252,61eab83a50fb09bc0bd86241,Haiti,False,28117,780,10981229,18.9712,-72.2852
253,61eab83a50fb09bc0bd86242,Holy See,False,29,0,1000,41.9029,12.4534
254,61eab83a50fb09bc0bd86243,Honduras,False,387515,10468,9265067,15.2,-86.2419
255,61eab83a50fb09bc0bd86244,Hungary,False,1385500,40757,9721559,47.1625,19.5033
256,61eab83a50fb09bc0bd86245,Iceland,False,53121,44,335025,64.9631,-19.0208
257,61eab83a50fb09bc0bd86246,India,False,38566027,488396,1339180127,,
258,61eab83a50fb09bc0bd86247,India_Andaman and Nicobar Islands,True,9033,129,0,11.225999,92.96817800000001
259,61eab83a50fb09bc0bd86248,India_Andhra Pradesh,True,2140056,14527,0,15.9129,79.74
260,61eab83a50fb09bc0bd86249,India_Arunachal Pradesh,True,58271,282,0,27.768456,96.384277
261,61eab83a50fb09bc0bd8624a,India_Assam,True,678057,6260,0,26.357149,92.83044100000001
262,61eab83a50fb09bc0bd8624b,India_Bihar,True,802742,12162,0,25.679658,85.60484
263,61eab83a50fb09bc0bd8624c,India_Chandigarh,True,82563,1095,0,30.733839,76.76827800000002
264,61eab83a50fb09bc0bd8624d,India_Chhattisgarh,True,1081178,13697,0,21.264705,82.035366
265,61eab83a50fb09bc0bd8624e,India_Dadra and Nagar Haveli and Daman and Diu,True,11110,4,0,20.194742,73.080901
266,61eab83a50fb09bc0bd8624f,India_Delhi,True,1760272,25503,0,28.646519,77.10898
